email,spam,ham
Subject: You are eligible for a free vacation 0! Click here to claim your prize 0.,1,0
Subject: Congratulations 1! You've won a free iPhone 1. Act fast to claim it 1.,1,0
Subject: Make money fast 2! Work from home and earn $5000 per week 2.,1,0
Subject: Your loan application is approved 3! Click here to get instant cash 3.,1,0
Subject: Get 80% discount on luxury watches 4! Limited time offer 4.,1,0
Subject: Your account has been compromised 5! Urgent action required 5.,1,0
Subject: Free VIP pass inside 6! Don't miss this opportunity 6.,1,0
Subject: Earn money by completing simple online surveys 7.,1,0
Subject: Suspicious activity detected on your banking account 8.,1,0
Subject: You’ve been selected for an exclusive investment opportunity 9.,1,0
Subject: You are eligible for a free vacation 10! Click here to claim your prize 10.,1,0
Subject: Congratulations 11! You've won a free iPhone 11. Act fast to claim it 11.,1,0
Subject: Make money fast 12! Work from home and earn $5000 per week 12.,1,0
Subject: Your loan application is approved 13! Click here to get instant cash 13.,1,0
Subject: Get 80% discount on luxury watches 14! Limited time offer 14.,1,0
Subject: Your account has been compromised 15! Urgent action required 15.,1,0
Subject: Free VIP pass inside 16! Don't miss this opportunity 16.,1,0
Subject: Earn money by completing simple online surveys 17.,1,0
Subject: Suspicious activity detected on your banking account 18.,1,0
Subject: You’ve been selected for an exclusive investment opportunity 19.,1,0
Subject: You are eligible for a free vacation 20! Click here to claim your prize 20.,1,0
Subject: Congratulations 21! You've won a free iPhone 21. Act fast to claim it 21.,1,0
Subject: Make money fast 22! Work from home and earn $5000 per week 22.,1,0
Subject: Your loan application is approved 23! Click here to get instant cash 23.,1,0
Subject: Get 80% discount on luxury watches 24! Limited time offer 24.,1,0
Subject: Your account has been compromised 25! Urgent action required 25.,1,0
Subject: Free VIP pass inside 26! Don't miss this opportunity 26.,1,0
Subject: Earn money by completing simple online surveys 27.,1,0
Subject: Suspicious activity detected on your banking account 28.,1,0
Subject: You’ve been selected for an exclusive investment opportunity 29.,1,0
Subject: You are eligible for a free vacation 30! Click here to claim your prize 30.,1,0
Subject: Congratulations 31! You've won a free iPhone 31. Act fast to claim it 31.,1,0
Subject: Make money fast 32! Work from home and earn $5000 per week 32.,1,0
Subject: Your loan application is approved 33! Click here to get instant cash 33.,1,0
Subject: Get 80% discount on luxury watches 34! Limited time offer 34.,1,0
Subject: Your account has been compromised 35! Urgent action required 35.,1,0
Subject: Free VIP pass inside 36! Don't miss this opportunity 36.,1,0
Subject: Earn money by completing simple online surveys 37.,1,0
Subject: Suspicious activity detected on your banking account 38.,1,0
Subject: You’ve been selected for an exclusive investment opportunity 39.,1,0
Subject: You are eligible for a free vacation 40! Click here to claim your prize 40.,1,0
Subject: Congratulations 41! You've won a free iPhone 41. Act fast to claim it 41.,1,0
Subject: Make money fast 42! Work from home and earn $5000 per week 42.,1,0
Subject: Your loan application is approved 43! Click here to get instant cash 43.,1,0
Subject: Get 80% discount on luxury watches 44! Limited time offer 44.,1,0
Subject: Your account has been compromised 45! Urgent action required 45.,1,0
Subject: Free VIP pass inside 46! Don't miss this opportunity 46.,1,0
Subject: Earn money by completing simple online surveys 47.,1,0
Subject: Suspicious activity detected on your banking account 48.,1,0
Subject: You’ve been selected for an exclusive investment opportunity 49.,1,0
